나하, 84, 162
아카, 58, 170
가자, 75, 146
자파, 59, 158
카차, 48, 159
자아, 56, 198
바바, 78, 160
하카, 73, 183
타사, 67, 166
아자, 66, 161
타마, 68, 145
아사, 76, 182
하바, 91, 184
마카, 73, 187
자하, 70, 161
마바, 76, 181
자하, 58, 147
다타, 97, 191
하라, 40, 140
가아, 50, 141
아나, 95, 169
하하, 62, 158
파자, 87, 188
자라, 82, 185
파자, 69, 155
마사, 44, 186
마타, 66, 145
바바, 48, 166
자차, 49, 168
가하, 82, 188
나마, 75, 185
아다, 72, 195
자카, 50, 166
사라, 86, 158
아카, 97, 164
사마, 77, 180
차사, 73, 141
바마, 46, 152
파라, 65, 187
타카, 80, 163
다하, 69, 156
가파, 69, 180
파아, 76, 177
마타, 63, 147
하사, 99, 170
가마, 95, 180
타파, 98, 141
하라, 66, 162
차아, 84, 161
라자, 49, 184
가타, 67, 189
마마, 49, 172
가라, 98, 162
하하, 78, 157
라자, 67, 194
가하, 62, 185
파사, 94, 173
카다, 56, 199
사라, 97, 191
라파, 56, 179
차나, 85, 184
가차, 89, 183
타카, 91, 191
나마, 91, 157
파자, 80, 192
마마, 88, 183
아라, 55, 166
바차, 90, 154
나아, 89, 167
하카, 94, 150
사바, 75, 178
하사, 91, 149
하라, 67, 190
타자, 73, 151
다다, 58, 147
바차, 64, 197
아타, 64, 196
카파, 45, 193
카사, 70, 198
나다, 73, 142
사파, 63, 181
차라, 89, 154
차사, 46, 163
나마, 54, 147
파사, 79, 187
타차, 82, 165
나차, 58, 146
차파, 50, 154
카타, 71, 183
다아, 66, 182
바자, 59, 176
자아, 70, 167
타타, 40, 191
나사, 48, 162
사자, 66, 158
나파, 54, 158
카라, 98, 182
바자, 99, 159
하하, 46, 199
차파, 49, 155
아차, 81, 191
바하, 67, 180
다마, 56, 170
가차, 87, 198
카아, 88, 183
사사, 86, 162
차나, 56, 144
가카, 44, 157
나마, 48, 199
마나, 75, 140
라카, 66, 150
파사, 68, 198
라바, 91, 140
사가, 40, 153
카나, 57, 186
파가, 43, 169
바차, 45, 168
다차, 86, 197
마파, 44, 178
다가, 85, 181
타아, 79, 145
마자, 97, 147
가마, 52, 178
가자, 65, 169
자카, 50, 164
하나, 90, 187
나다, 40, 199
자가, 71, 153
아라, 50, 146
나바, 94, 183
바자, 75, 164
라라, 58, 195
마바, 63, 146
자다, 70, 157
바하, 64, 196
자아, 66, 178
차사, 41, 187
바하, 64, 187
나바, 81, 140
라다, 86, 168
파하, 80, 171
바라, 72, 178
자파, 53, 160
아자, 60, 180
차자, 95, 182
라사, 99, 197
바다, 58, 199
카가, 48, 173
마바, 96, 174
차바, 91, 168
아아, 98, 173
나바, 54, 158
카자, 93, 177
타카, 52, 188
파차, 95, 150
타나, 86, 191
타사, 91, 162
타자, 51, 156
나가, 53, 151
사파, 43, 198
타바, 67, 145
바바, 78, 198
라아, 78, 179
차아, 59, 150
다마, 85, 157
나바, 68, 168
마가, 92, 153
바하, 70, 180
차라, 40, 141
카다, 88, 160
타가, 69, 195
나라, 98, 168
카아, 95, 178
라아, 71, 143
가다, 42, 171
나타, 54, 157
파바, 95, 196
마자, 67, 190
마아, 66, 145
아아, 47, 195
나자, 55, 166
하바, 86, 158
나자, 44, 141
나나, 83, 184
자나, 46, 147
다파, 91, 178
타하, 85, 186
바자, 72, 182
마파, 74, 171
아바, 82, 161
사라, 78, 182
아아, 87, 169
파자, 59, 142
바차, 59, 142
자차, 47, 173
하라, 84, 161
카다, 49, 193
마나, 88, 195
자라, 75, 147
나바, 65, 161
라아, 59, 186
마아, 64, 148
파라, 67, 171
하바, 54, 162
카하, 40, 162
하사, 57, 143
타바, 52, 197
가하, 59, 158
마카, 49, 171
다아, 55, 199
다바, 81, 147
가다, 48, 144
나카, 82, 172
아마, 69, 145
하가, 47, 166
라라, 44, 184
아차, 95, 189
타카, 98, 185
가하, 44, 166
자라, 62, 150
가아, 91, 165
아아, 88, 171
나라, 67, 192
타파, 45, 184
라하, 68, 159
자차, 93, 192
마바, 40, 156
카파, 57, 193
라라, 64, 162
자바, 54, 166
타다, 97, 150
아나, 76, 147
라바, 88, 173
차라, 45, 147
차카, 40, 179
나자, 49, 170
사하, 40, 144
차바, 74, 163
사아, 99, 163
라카, 99, 142
나라, 62, 168
다바, 65, 154
카파, 65, 191
바자, 80, 183
타아, 68, 165
아마, 49, 199
파타, 83, 149
파타, 85, 184
다다, 87, 177
아파, 72, 154
자아, 78, 161
라가, 84, 175
라나, 68, 182
카하, 46, 160
가마, 63, 190
카다, 90, 172
파바, 58, 151
마마, 73, 150
사아, 66, 193
가차, 47, 149
차카, 45, 142
아가, 47, 190
카가, 76, 140
파사, 55, 185
아하, 72, 170
파자, 93, 159
가다, 59, 198
다파, 43, 178
나마, 67, 146
라타, 98, 158
파파, 79, 190
가아, 56, 196
파사, 64, 146
파나, 83, 152
사차, 47, 179
바파, 85, 178
